Station_ID	Station_Name	State	Latitude	Longitude	Elevation	tl01	tl02	tl03	tl04	tl05	tl06	tl07	tl08	tl09	tl10	tl11	tl12	t01	t02	t03	t04	t05	t06	t07	t08	t09	t10	t11	t12	pp01	pp02	pp03	pp04	pp05	pp06	pp07	pp08	pp09	pp10	pp11	pp12	ss01	ss02	ss03	ss04	ss05	ss06	ss07	ss08	ss09	ss10	ss11	ss12	Status
RMC00913915	AILINGLAPALAP	MH	7.26	168.83	1.80																									16.00	12.49	15.49	18.59	27.38	27.73	29.28	27.05	27.07	27.86	34.34	23.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RMC00914304	JALUIT	MH	5.91	169.65	1.80																									24.68	15.79	25.88	30.07	27.55	26.33	32.05	28.85	28.57	28.21	26.33	26.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RMC00914487	MILI	MH	6.08	171.73	3.00																									21.56	23.06	19.02	26.54	25.19	25.75	33.98	25.14	26.59	23.59	24.40	28.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RMC00914903	WOTJE	MH	9.46	170.25	1.80																									6.14	3.96	5.15	8.91	12.49	14.24	10.94	13.36	19.65	22.09	19.60	11.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RMW00040604	KWAJALEIN	MH	8.73	167.73	2.10	25.55	25.55	25.66	25.83	25.94	25.77	25.61	25.61	25.61	25.72	25.66	25.72	27.61	27.72	27.94	28.05	28.19	28.02	27.94	28.02	28.08	28.08	27.94	27.77	10.18	8.38	9.04	15.77	16.78	19.96	25.01	26.41	27.66	30.04	28.11	20.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RMW00040710	MAJURO WBAS AP	MH	7.08	171.38	3.00	25.44	25.50	25.55	25.61	25.72	25.50	25.44	25.50	25.50	25.44	25.50	25.38	27.58	27.72	27.80	27.83	27.97	27.83	27.83	27.94	28.00	27.97	27.91	27.66	21.03	19.35	19.17	24.46	25.04	27.76	30.30	29.00	30.83	33.70	33.60	29.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00660040	ACEITUNA WATER TREATMENT PLANT	PR	18.14	-66.49	598.90																									6.60	6.60	7.62	17.37	20.98	13.97	11.40	19.40	29.92	34.46	17.60	8.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00660053	ADJUNTAS 1 S	PR	18.16	-66.72	506.00																									8.30	5.28	8.12	14.90	23.69	13.46	15.18	23.26	36.29	25.62	15.82	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00660061	ADJUNTAS SUBSTN	PR	18.17	-66.79	557.80	12.05	11.72	12.16	13.83	15.33	16.22	16.16	16.05	16.00	15.38	15.00	13.38	19.25	19.16	19.66	20.69	21.77	22.72	22.80	22.83	22.66	22.19	21.47	20.05	6.35	6.42	9.55	18.36	24.20	12.59	15.18	21.23	31.75	28.95	16.99	8.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00660152	AGUIRRE	PR	17.95	-66.22	7.60	19.50	19.72	19.88	20.94	22.44	23.38	23.38	23.38	22.88	22.33	21.50	20.16	24.69	24.75	24.91	25.75	26.77	27.44	27.63	27.86	27.47	27.02	26.36	25.25	3.75	2.79	2.92	3.47	11.25	8.73	9.24	10.10	16.05	15.95	11.81	4.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00660158	AIBONITO 1 S	PR	18.12	-66.26	710.20	16.50	16.00	16.27	17.27	18.72	19.50	19.44	19.88	19.77	19.50	18.16	17.66	19.72	19.55	20.25	21.19	22.41	23.08	23.41	23.63	23.33	22.88	21.38	20.52	7.54	7.84	7.67	11.12	15.03	7.72	9.24	11.43	23.57	20.19	20.72	10.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00660410	ARECIBO 3 ESE	PR	18.45	-66.67	3.00	18.00	16.61	17.77	19.22	20.50	21.16	21.55	21.61	21.38	20.88	19.88	18.61	23.94	23.13	24.02	25.05	26.02	26.72	27.05	27.13	27.22	26.63	25.36	24.44																									T
RQC00660426	ARECIBO OBSY	PR	18.34	-66.75	323.10	17.16	16.72	17.11	18.05	19.33	20.00	20.38	20.44	20.44	19.88	19.44	18.00	22.36	22.27	22.83	23.55	24.52	25.38	25.55	25.61	25.52	25.00	24.08	22.86	10.36	9.01	10.82	19.25	29.41	16.53	16.94	21.15	23.77	25.62	18.46	12.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00660668	BARCELONETA 3 SW	PR	18.42	-66.56	73.20																									11.70	7.16	7.49	14.07	20.65	13.20	10.36	12.16	14.57	16.25	18.38	12.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00660948	BOCA	PR	17.99	-66.81	4.60																									3.07	3.60	3.45	6.14	12.03	7.56	5.56	8.35	14.68	14.50	11.81	3.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00661142	CACAOS-OROCOVIS	PR	18.22	-66.50	554.70																									12.14	9.24	11.98	20.72	27.12	11.73	10.87	19.25	28.65	27.88	22.86	13.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00661309	CAGUAS 1 W	PR	18.23	-66.05	79.20																									7.31	6.75	7.39	11.53	17.09	10.61	14.73	15.18	15.41	18.08	18.94	11.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00661345	CALERO CAMP	PR	18.47	-67.11	85.00																									8.00	6.09	7.59	10.92	18.00	14.57	11.02	13.58	14.96	18.66	13.28	9.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00661590	CANOVANAS	PR	18.37	-65.89	9.10																									14.63	9.77	7.51	14.78	18.77	13.23	19.86	19.20	18.59	16.96	23.19	19.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00661901	CAYEY 1 E	PR	18.11	-66.16	395.00	16.55	16.16	16.33	17.44	19.22	20.61	20.77	20.33	19.83	19.38	18.55	17.00	20.91	20.83	21.27	22.33	23.55	24.66	24.77	24.72	24.41	23.91	22.80	21.33	8.33	6.32	6.12	10.08	14.02	9.44	14.32	14.12	22.80	16.02	18.51	9.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00662316	CENTRAL SAN FRANCISCO	PR	17.98	-66.81	9.10																									2.81	3.09	3.02	6.75	9.72	4.92	4.64	7.23	13.79	17.01	8.83	2.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00662330	CERRO GORDO CIALES	PR	18.27	-66.51	291.10																									11.98	8.73	12.09	22.52	28.34	13.15	10.82	17.72	27.17	29.59	18.64	13.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00662336	CERRO MARAVILLA	PR	18.15	-66.56	1219.80	13.33	13.16	13.55	14.38	15.44	16.66	16.83	16.88	16.55	16.50	15.16	14.22	15.97	15.97	16.38	16.97	17.72	19.00	19.41	19.38	19.13	18.97	17.77	16.55	9.67	9.24	13.00	21.76	30.83	17.93	15.46	26.39	34.74	39.77	22.93	10.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00662634	CIDRA 1 E	PR	18.18	-66.15	426.70																									10.97	8.35	7.28	14.17	16.89	10.87	15.24	16.23	19.12	15.74	17.52	12.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00662723	COAMO 2 SW	PR	18.06	-66.37	111.30																									2.54	3.70	4.87	7.51	11.15	7.21	4.85	11.93	20.52	18.71	11.81	3.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00662801	COLOSO	PR	18.38	-67.15	12.20	18.05	17.88	18.44	19.44	21.00	21.33	21.66	21.83	21.61	20.94	20.50	18.77	23.75	23.69	24.22	25.05	26.16	26.72	26.88	27.05	26.86	26.27	25.63	24.25	5.58	6.01	8.02	12.64	25.67	23.11	19.76	25.75	23.57	23.39	11.98	6.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00662934	COROZAL SUBSTN	PR	18.32	-66.35	198.10	17.77	17.38	17.77	18.55	20.00	20.88	21.22	21.33	21.00	20.38	19.77	18.38	22.91	22.86	23.50	24.33	25.44	26.38	26.41	26.61	26.30	25.77	24.66	23.38	12.09	9.39	11.68	20.21	23.72	9.65	13.43	16.33	22.32	23.21	19.35	16.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00663023	CORRAL VIEJO	PR	18.08	-66.65	175.00																									5.20	4.77	6.98	12.67	17.19	9.04	10.26	16.15	25.09	28.24	16.35	6.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00663409	DORADO 2 WNW	PR	18.47	-66.30	1.50	18.72	19.61	19.61	20.88	21.94	22.44	23.05	23.00	22.72	22.16	21.66	20.00	22.30	22.63	23.38	24.91	26.00	26.72	26.36	26.80	26.63	25.52	25.50	24.13	13.86	9.44	5.23	13.13	16.61	10.23	15.54	14.70	15.06	14.60	19.73	15.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00663431	DOS BOCAS	PR	18.33	-66.66	61.00	17.72	17.27	17.55	18.77	20.22	21.00	21.44	21.55	21.22	20.77	20.05	18.66	23.16	23.05	23.41	24.30	25.41	26.41	26.66	26.77	26.47	25.97	24.91	23.75	8.96	7.51	9.67	17.78	27.02	14.68	12.42	18.97	23.34	24.07	18.05	11.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00663532	ENSENADA 1 W	PR	17.97	-66.94	45.70																									3.50	2.43	3.83	6.65	9.27	5.02	6.12	8.35	11.96	14.80	10.08	3.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00663657	FAJARDO	PR	18.31	-65.66	9.10	20.55	20.55	21.00	21.77	22.83	24.00	24.27	23.83	23.38	23.11	22.38	21.44	24.75	24.83	25.22	26.11	27.05	27.83	28.00	27.94	27.61	27.27	26.47	25.50	11.22	7.79	6.85	8.66	21.23	13.81	15.01	13.71	17.37	20.32	20.29	14.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00663904	GUAJATACA DAM	PR	18.39	-66.92	202.10																									10.79	7.89	11.98	17.39	27.40	16.35	12.87	17.88	21.86	20.67	17.57	10.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00664126	GUAYABAL	PR	18.07	-66.49	112.80																									3.83	4.41	5.35	8.91	14.09	8.58	7.72	13.84	20.34	20.37	14.40	4.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
RQC00664193	GUAYAMA 2E	PR	17.97	-66.08	21.90	22.00	21.94	22.16	23.05	24.05	24.61	24.88	25.11	24.55	24.16	23.50	22.61	25.63	25.75	25.91	26.72	27.50	28.02	28.36	28.61	28.16	27.83	27.16	26.36	6.27	4.92	4.47	5.71	14.60	13.15	13.99	14.96	17.60	21.05	14.75	7.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00664276	GURABO SUBSTN	PR	18.25	-65.99	48.80	17.16	17.11	17.66	19.11	21.00	21.83	21.66	21.77	21.55	21.00	19.94	18.33	23.16	23.16	23.80	24.91	26.13	26.94	26.91	27.13	26.91	26.44	25.36	23.91	9.06	6.88	8.05	10.79	14.63	11.35	14.73	18.71	21.56	18.69	18.18	12.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
RQC00664340	HATO ARRIBA ARECIBO	PR	18.45	-66.76	64.90																									6.83	7.28	7.28	15.57	17.34	7.23	9.11	11.60	13.03	16.71	18.13	12.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
