ID	StationNumber	lat	lon	elev	state	station_Name	Field7	Field8	Field9	Field10	StationID
135	063207	41.35	-72.03	12.20	CT	GROTON	065309	------	------	5	USH00063207
136	067970	41.12	-73.54	57.90	CT	STAMFORD 5 N	065892	065893	------	5	USH00067970
137	068138	41.79	-72.22	198.10	CT	STORRS	------	------	------	5	USH00068138
138	072730	39.25	-75.51	9.10	DE	DOVER	------	------	------	5	USH00072730
139	073595	38.81	-75.57	13.70	DE	GREENWOOD 2NE	071330	------	------	5	USH00073595
140	075915	38.89	-75.42	10.70	DE	MILFORD 2 SE	------	------	------	5	USH00075915
141	076410	39.66	-75.75	27.40	DE	NEWARK UNIV FARM	------	------	------	5	USH00076410
142	079605	39.77	-75.54	82.30	DE	WILMINGTON PORTER RES	079600	------	------	5	USH00079605
143	080211	29.72	-85.02	6.10	FL	APALACHICOLA AP	------	------	------	5	USH00080211
144	080228	27.21	-81.87	9.10	FL	ARCADIA	------	------	------	5	USH00080228
145	080478	27.89	-81.84	38.10	FL	BARTOW	------	------	------	5	USH00080478
146	080611	26.69	-80.67	6.10	FL	BELLE GLADE	------	------	------	5	USH00080611
147	082220	30.72	-86.09	74.70	FL	DE FUNIAK SPRINGS 1	------	------	------	6	USH00082220
148	082850	25.84	-81.38	1.50	FL	EVERGLADES	------	------	------	5	USH00082850
149	082915	29.75	-81.53	1.50	FL	FEDERAL POINT	------	------	------	5	USH00082915
150	082944	30.65	-81.46	4.00	FL	FERNANDINA BEACH	------	------	------	5	USH00082944
151	083163	26.10	-80.20	4.90	FL	FT LAUDERDALE	------	------	------	5	USH00083163
152	083186	26.58	-81.86	4.60	FL	FT MYERS PAGE FLD	------	------	------	5	USH00083186
153	083207	27.46	-80.35	7.60	FL	FT PIERCE	------	------	------	5	USH00083207
154	084289	28.80	-82.31	12.20	FL	INVERNESS 3 SE	------	------	------	5	USH00084289
155	084570	24.55	-81.75	1.20	FL	KEY WEST INTL AP	084575	------	------	5	USH00084570
156	084731	30.18	-82.59	59.40	FL	LAKE CITY 2 E	------	------	------	5	USH00084731
157	085275	30.45	-83.41	36.60	FL	MADISON	------	------	------	5	USH00085275
158	086414	29.08	-82.07	22.90	FL	OCALA	------	------	------	5	USH00086414
159	086997	30.47	-87.18	34.10	FL	PENSACOLA RGNL AP	087002	------	------	6	USH00086997
160	087020	25.58	-80.43	3.00	FL	PERRINE 4W	084091	------	------	5	USH00087020
161	087851	28.33	-82.26	57.90	FL	SAINT LEO	------	------	------	5	USH00087851
162	088758	30.39	-84.35	16.80	FL	TALLAHASSEE WSO AP	088754	------	------	5	USH00088758
163	088824	28.15	-82.76	2.40	FL	TARPON SPGS SEWAGE PL	------	------	------	5	USH00088824
164	088942	28.62	-80.81	1.50	FL	TITUSVILLE	------	------	------	5	USH00088942
165	090140	31.53	-84.14	54.90	GA	ALBANY 3 SE	------	------	------	5	USH00090140
166	090586	30.82	-84.61	57.90	GA	BAINBRIDGE INTL PAPER	090581	------	------	5	USH00090586
167	091340	31.16	-81.50	4.00	GA	BRUNSWICK	------	------	------	5	USH00091340
168	091500	31.19	-84.20	53.30	GA	CAMILLA 3SE	093516	090979	------	5	USH00091500
169	092318	33.59	-83.84	234.40	GA	COVINGTON	------	------	------	5	USH00092318
170	092475	34.52	-83.99	475.50	GA	DAHLONEGA	------	------	------	5	USH00092475
171	092966	32.20	-83.20	121.90	GA	EASTMAN 1 W	------	------	------	5	USH00092966
172	093621	34.30	-83.86	356.60	GA	GAINESVILLE	------	------	------	5	USH00093621
173	093754	31.98	-81.95	61.00	GA	GLENNVILLE 3NW	------	------	------	5	USH00093754
174	094170	33.28	-83.46	74.70	GA	HAWKINSVILLE	------	------	------	5	USH00094170
175	095874	33.08	-83.24	112.20	GA	MILLEDGEVILLE	------	------	------	5	USH00095874
176	095882	32.87	-81.96	59.40	GA	MILLEN 4 N	------	------	------	5	USH00095882
177	096335	33.45	-84.81	272.50	GA	NEWNAN 5N	------	------	------	5	USH00096335
178	097276	30.78	-83.56	56.40	GA	QUITMAN 2 NW	------	------	------	5	USH00097276
179	097600	34.24	-85.15	200.90	GA	ROME	------	------	------	5	USH00097600
180	097847	32.13	-81.21	14.00	GA	SAVANNAH INTL AP	097878	------	------	5	USH00097847
181	098535	32.68	-84.51	195.10	GA	TALBOTTON	------	------	------	5	USH00098535
182	098703	31.44	-83.47	115.80	GA	TIFTON	------	------	------	5	USH00098703
183	098740	34.57	-83.33	308.50	GA	TOCCOA	------	------	------	5	USH00098740
184	099141	33.40	-82.62	149.40	GA	WARRENTON	------	------	------	5	USH00099141
185	099157	33.72	-82.70	189.00	GA	WASHINGTON 2 ESE	------	------	------	5	USH00099157
186	099186	31.25	-82.31	44.20	GA	WAYCROSS 4 NE	------	------	------	5	USH00099186
187	099291	32.86	-85.18	175.30	GA	WEST POINT	------	------	------	5	USH00099291
188	100010	42.95	-112.82	1342.60	ID	ABERDEEN EXP STN	------	------	------	7	USH00100010
189	100448	43.59	-115.92	986.00	ID	ARROWROCK DAM	------	------	------	7	USH00100448
190	100470	44.04	-111.27	1588.60	ID	ASHTON 1N	------	------	------	7	USH00100470
191	100803	42.33	-111.38	1817.80	ID	BERN	480915	------	------	7	USH00100803
192	101408	44.57	-116.67	807.70	ID	CAMBRIDGE	------	------	------	7	USH00101408
193	101956	47.67	-116.80	650.10	ID	COEUR D'ALENE	100667	------	------	8	USH00101956
194	102845	46.50	-116.32	303.30	ID	DWORSHAK FISH HATCHERY	106681	------	------	8	USH00102845
195	103143	46.09	-115.53	475.50	ID	FENN RS	105011	------	------	8	USH00103143
196	103631	42.94	-115.32	751.60	ID	GLENNS FERRY	------	------	------	7	USH00103631
197	103732	42.58	-111.72	1691.60	ID	GRACE	------	------	------	7	USH00103732
198	104140	42.59	-114.13	1237.50	ID	HAZELTON	------	------	------	7	USH00104140
199	104295	42.35	-114.57	1379.20	ID	HOLLISTER	------	------	------	7	USH00104295
200	104670	42.73	-114.51	1140.00	ID	JEROME	------	------	------	7	USH00104670
201	104831	47.53	-116.12	707.10	ID	KELLOGG	------	------	------	8	USH00104831
202	104845	43.68	-114.36	1795.30	ID	KETCHUM RS	103942	------	------	7	USH00104845
203	105241	46.37	-117.01	437.70	ID	LEWISTON AP	105236	------	------	8	USH00105241
204	105275	42.12	-111.31	1806.20	ID	LIFTON PUMPING STN	------	------	------	8	USH00105275
205	105462	43.91	-113.63	1797.40	ID	MACKAY LOST RIVER RS	------	------	------	7	USH00105462
206	105559	42.14	-112.28	1362.50	ID	MALAD CITY	105544	------	------	7	USH00105559
207	105685	44.56	-113.89	1539.20	ID	MAY 2SSE	101663	------	------	7	USH00105685
208	106152	46.72	-116.96	810.80	ID	MOSCOW U OF I	------	------	------	8	USH00106152
209	106305	43.60	-116.57	752.90	ID	NAMPA SUGAR FACTORY	101380	------	------	7	USH00106305
210	106388	44.96	-116.28	1179.60	ID	NEW MEADOWS RS	------	------	------	7	USH00106388
211	106542	42.23	-113.89	1389.60	ID	OAKLEY	------	------	------	7	USH00106542
212	106891	44.07	-116.92	655.30	ID	PAYETTE	------	------	------	7	USH00106891
213	107264	48.99	-116.50	541.00	ID	PORTHILL	------	------	------	8	USH00107264
214	107386	48.35	-116.83	725.40	ID	PRIEST RIVER EXP STN	------	------	------	8	USH00107386
215	108080	45.18	-113.90	1198.20	ID	SALMON-KSRA	108076	------	------	7	USH00108080
216	108137	48.29	-116.55	640.10	ID	SANDPOINT EXP STN	------	------	------	8	USH00108137
217	110072	41.19	-90.74	219.50	IL	ALEDO	------	------	------	6	USH00110072
218	110187	37.48	-89.23	195.10	IL	ANNA 2 NNE	------	------	------	6	USH00110187
219	110338	41.78	-88.30	201.20	IL	AURORA	------	------	------	6	USH00110338
220	111280	39.28	-89.87	189.30	IL	CARLINVILLE	------	------	------	6	USH00111280
221	111436	39.47	-88.16	198.10	IL	CHARLESTON	------	------	------	6	USH00111436
222	112140	40.13	-87.64	170.10	IL	DANVILLE	------	------	------	6	USH00112140
223	112193	39.82	-88.95	189.00	IL	DECATUR WTP	------	------	------	6	USH00112193
224	112348	41.84	-89.50	213.40	IL	DIXON 1 NW	------	------	------	6	USH00112348
225	112483	37.98	-89.19	128.00	IL	DU QUOIN 4 SE	------	------	------	6	USH00112483
226	113335	41.17	-90.03	246.90	IL	GALVA	------	------	------	6	USH00113335
227	113879	37.74	-88.52	111.30	IL	HARRISBURG	------	------	------	6	USH00113879
228	114108	39.15	-89.48	192.00	IL	HILLSBORO	------	------	------	6	USH00114108
229	114198	40.47	-87.65	216.40	IL	HOOPESTON 1 NE	------	------	------	6	USH00114198
230	114442	39.73	-90.19	185.90	IL	JACKSONVILLE 2E	------	------	------	6	USH00114442
231	114823	40.58	-90.96	210.30	IL	LA HARPE	------	------	------	6	USH00114823
232	115079	40.15	-89.33	177.70	IL	LINCOLN	------	------	------	6	USH00115079
233	115326	42.29	-88.64	248.40	IL	MARENGO	------	------	------	6	USH00115326
234	115515	38.08	-88.54	135.90	IL	MCLEANSBORO	------	------	------	6	USH00115515
235	115712	40.91	-89.03	228.60	IL	MINONK	------	------	------	6	USH00115712
236	115768	40.92	-90.63	227.10	IL	MONMOUTH	------	------	------	6	USH00115768
237	115833	41.80	-89.97	183.80	IL	MORRISON	------	------	------	6	USH00115833
238	115901	42.09	-89.98	195.10	IL	MT CARROLL	------	------	------	6	USH00115901
239	115943	38.34	-88.85	149.40	IL	MT VERNON 3 NE	------	------	------	6	USH00115943
240	116446	38.70	-88.08	146.30	IL	OLNEY 2S	------	------	------	6	USH00116446
241	116526	41.32	-88.91	160.00	IL	OTTAWA 5SW	------	------	------	6	USH00116526
242	116558	39.00	-87.62	140.20	IL	PALESTINE	------	------	------	6	USH00116558
243	116579	39.37	-89.02	213.40	IL	PANA 3E	------	------	------	6	USH00116579
244	116610	39.63	-87.69	207.30	IL	PARIS WTR WKS	------	------	------	6	USH00116610
245	116738	39.80	-90.82	198.10	IL	PERRY 6 NW	113717	------	------	6	USH00116738
246	116910	40.88	-88.63	198.10	IL	PONTIAC	------	------	------	6	USH00116910
247	117551	40.11	-90.56	201.20	IL	RUSHVILLE	------	------	------	6	USH00117551
248	118147	38.11	-89.71	163.10	IL	SPARTA 1 W	------	------	------	6	USH00118147
249	118740	40.08	-88.24	219.80	IL	URBANA	------	------	------	6	USH00118740
250	118916	41.55	-89.59	210.30	IL	WALNUT	------	------	------	6	USH00118916
251	119241	39.44	-90.37	176.80	IL	WHITE HALL 1 E	------	------	------	6	USH00119241
252	119354	39.43	-88.59	210.30	IL	WINDSOR	------	------	------	6	USH00119354
253	120177	40.11	-85.71	257.60	IN	ANDERSON SEWAGE PLT	------	------	------	5	USH00120177
254	120200	41.63	-84.98	307.80	IN	ANGOLA	------	------	------	5	USH00120200
255	120676	40.66	-84.93	265.20	IN	BERNE WWTP	------	------	------	5	USH00120676
256	120784	39.17	-86.52	253.00	IN	BLOOMINGTON IN UNIV	------	------	------	5	USH00120784
257	121030	39.42	-85.01	192.00	IN	BROOKVILLE	------	------	------	5	USH00121030
258	121229	39.86	-85.18	304.80	IN	CAMBRIDGE CITY 3 N	------	------	------	5	USH00121229
259	121425	38.48	-85.70	167.60	IN	CHARLESTOWN 5 NNW	150155	------	------	5	USH00121425
260	121747	39.19	-85.92	189.30	IN	COLUMBUS	------	------	------	5	USH00121747
261	121873	40.00	-86.80	256.00	IN	CRAWFORDSVILLE 6 SE	121882	------	------	5	USH00121873
262	122149	40.61	-86.66	169.50	IN	DELPHI 2 N	------	------	------	5	USH00122149
263	123418	41.55	-85.88	266.70	IN	GOSHEN 3SW	------	------	------	5	USH00123418
264	123513	39.64	-86.87	224.00	IN	GREENCASTLE 1 W	------	------	------	5	USH00123513
265	123527	39.78	-85.76	263.70	IN	GREENFIELD	------	------	------	5	USH00123527
266	124008	41.54	-87.28	195.10	IN	HOBART 2 WNW	------	------	------	6	USH00124008
267	124181	40.85	-85.49	221.00	IN	HUNTINGTON	124176	------	------	5	USH00124181
268	124837	41.61	-86.72	257.60	IN	LAPORTE	------	------	------	6	USH00124837
269	125237	38.73	-85.39	140.20	IN	MADISON SEWAGE PLT	------	------	------	5	USH00125237
270	125337	40.58	-85.65	240.80	IN	MARION 2 N	------	------	------	5	USH00125337
271	126001	37.92	-87.89	108.80	IN	MT VERNON	------	------	------	5	USH00126001
272	126580	38.88	-86.55	198.10	IN	OOLITIC PURDUE EX FRM	------	------	------	5	USH00126580
273	126705	38.55	-86.48	170.70	IN	PAOLI	------	------	------	5	USH00126705
274	127125	38.35	-87.59	146.30	IN	PRINCETON 1 W	------	------	------	5	USH00127125
275	127298	40.93	-87.15	198.10	IN	RENSSELAER	121719	------	------	6	USH00127298
276	127482	41.06	-86.20	234.70	IN	ROCHESTER	------	------	------	5	USH00127482
277	127522	39.75	-87.22	211.20	IN	ROCKVILLE	------	------	------	5	USH00127522
278	127646	39.60	-85.45	292.60	IN	RUSHVILLE	125435	------	------	5	USH00127646
279	127755	38.61	-86.08	243.80	IN	SALEM	------	------	------	5	USH00127755
280	127875	38.68	-85.78	173.70	IN	SCOTTSBURG	------	------	------	5	USH00127875
281	127935	38.98	-85.98	173.70	IN	SEYMOUR 2 N	------	------	------	5	USH00127935
282	128036	38.55	-86.79	154.20	IN	SHOALS 8 S	------	------	------	5	USH00128036
283	129080	38.74	-85.07	150.90	IN	VEVAY	125381	------	------	5	USH00129080
284	129113	38.73	-87.48	137.20	IN	VINCENNES 5 NE	129112	------	------	5	USH00129113
285	129253	38.64	-87.19	152.40	IN	WASHINGTON 1 W	------	------	------	5	USH00129253
286	129511	41.19	-87.05	202.70	IN	WHEATFIELD	------	------	------	6	USH00129511
287	129557	39.99	-86.35	289.00	IN	WHITESTOWN	------	------	------	6	USH00129557
288	129670	41.02	-86.58	210.30	IN	WINAMAC 2SSE	------	------	------	5	USH00129670
289	130112	41.06	-92.78	268.20	IA	ALBIA 3 NNE	------	------	------	6	USH00130112
290	130133	43.06	-94.30	377.60	IA	ALGONA 3 W	------	------	------	6	USH00130133
291	130600	41.88	-92.27	246.90	IA	BELLE PLAINE	------	------	------	6	USH00130600
292	131402	43.07	-92.67	309.10	IA	CHARLES CITY	------	------	------	6	USH00131402
293	131533	40.72	-95.01	298.70	IA	CLARINDA	------	------	------	6	USH00131533
294	131635	41.79	-90.26	178.30	IA	CLINTON #1	------	------	------	6	USH00131635
295	132724	43.43	-94.82	396.80	IA	ESTHERVILLE 2 N	------	------	------	6	USH00132724
296	132789	41.02	-91.95	225.60	IA	FAIRFIELD	------	------	------	6	USH00132789
297	132864	42.85	-91.81	344.40	IA	FAYETTE	------	------	------	6	USH00132864
298	132977	43.28	-93.63	396.20	IA	FOREST CITY 2 NNE	------	------	------	6	USH00132977
299	132999	42.58	-94.20	347.50	IA	FORT DODGE 5NNW	------	------	------	6	USH00132999
300	134063	41.36	-93.64	287.10	IA	INDIANOLA 2W	------	------	------	6	USH00134063
301	134142	42.51	-93.25	344.40	IA	IOWA FALLS	------	------	------	6	USH00134142
302	134735	42.78	-96.14	364.20	IA	LE MARS	------	------	------	6	USH00134735
303	134894	41.63	-95.78	301.80	IA	LOGAN	------	------	------	6	USH00134894
304	135769	40.70	-94.24	359.70	IA	MT AYR	------	------	------	6	USH00135769
305	135796	40.94	-91.56	222.50	IA	MT PLEASANT 1 SSW	------	------	------	6	USH00135796
306	135952	43.04	-92.31	349.90	IA	NEW HAMPTON	------	------	------	6	USH00135952
307	137147	43.43	-96.16	411.50	IA	ROCK RAPIDS	------	------	------	6	USH00137147
308	137161	42.39	-94.62	364.20	IA	ROCKWELL CITY	------	------	------	6	USH00137161
